Txhash,"UnixTimestamp","DateTime","From","To","Value","ContractAddress","TokenName","TokenSymbol"
0x866857a2d6aa106fb49874b33f4f14f2392e6884de0d9c790da162df405b5ab2,"1536761418","2018-09-12 14:10:18","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0x2664c334c46635f7845487d3bab16992fc83a93e","357,142,857","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","Pundi X Token","NPXS",""
0xab6c5d2ed2e5cf4aba34e1c9bfe8bafddf25aa4fd401a002e1f0d06d99e50eb8,"1536766118","2018-09-12 15:28:38","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0x2664c334c46635f7845487d3bab16992fc83a93e","1,085,778,669","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","Pundi X Token","NPXS",""
0x8e826516044dcb5d56d7fbaa71dc2579b8fa122de6495e64f178b52196b437bb,"1536766974","2018-09-12 15:42:54","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0x2664c334c46635f7845487d3bab16992fc83a93e","1,085,778,669","0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3","Pundi X Token","NPXS",""
0xde8af9490fcbb782e1f9ac6bdb281c83f3f1f43ba7d700d8d9866c3a8a3dd2e6,"1539354743","2018-10-12 14:32:23","0x0000000000000000000000000000000000000000","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","5","0xaf47ebbd460f21c2b3262726572ca8812d7143b0","Promodl","PMOD",""
0xe406a37d21418382a025a33015d5b25ddae4c87c3fe7241f28199c4298e15c8c,"1540313268","2018-10-23 16:47:48","0x58fed907b264f0177c3fcbd76769c873805d6e40","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","5","0xaf47ebbd460f21c2b3262726572ca8812d7143b0","Promodl","PMOD",""
0xb0b30ac8c58cd1a7bf81468af77d1526d2fa5035137f76a911f5a0cc0f0d3b7b,"1542259647","2018-11-15 05:27:27","0x668f42819a49be08bb8c6ae2516659c473b496c3","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","88","0xd20bcbd56d9d551cac10a6bc2a83635bfb72f3f4","FUND","FUND",""
0x0fcb3ec0c1f93fb624978e0cff805801f4fef37131e5272a0406fc933ad131cb,"1544499708","2018-12-11 03:41:48","0x8fba840decc346a788815d98101906895ded31fc","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","8","0x1b5855d39e0a79a9f282478bd7191212a49b53a2","GENES","GENES",""
0xd6b817b3fa04abb1458c4596f7f4c5a9dd80f25e32149db93aa97fdebfd2070b,"1545006994","2018-12-17 00:36:34","0xbb530108497bd5007b74443119a8de8f33cc98bf","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","99","0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea","ERC20","ERC20",""
0xfa0fb1f9ff6fd72f3e926de5e0149a6cd709fcb72b474dd22a3f405d950851a9,"1547955256","2019-01-20 03:34:16","0x039b5649a59967e3e936d7471f9c3700100ee1ab","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","1.337","0x5040a75e178c373677d7506b7d5dce443249d365","Blockwell say NOTSAFU","NOTSAFU say Blockwell",""
0x31f6545894a405bd4d7bd439fac5907d6fe8603f0bcd8739fc91cc7894ad8ced,"1548596283","2019-01-27 13:38:03","0xbb748280b6b6510302e13c9bc2067454c781f169","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","100","0xa63581ee10ba4a7570aa0279240bb02a0f028d9b","DarkChain","DARKC",""
0x7793d32853cd237592195e12ee7acd168fb2885d0da7ebcbf61012e090c3f7f3,"1552048810","2019-03-08 12:40:10","0xdc76cd25977e0a5ae17155770273ad58648900d3","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","1,000","0x219b9040eb7d8d8c2e8e84b87ce9ac1c83071980","Huobi Airdrop HuobiAirdrop.com","HuobiAirdrop.com",""
0xe51693a0af1435056a7ed4a8e03e218a398832048790d9a2d301a9610a767a76,"1557730233","2019-05-13 06:50:33","0x564286362092d8e7936f0549571a803b203aaced","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","1.337","0xb84f655d4aad12b3533218ffeeb1e90e16439217","brief.blockwell.ai","brief.blockwell.ai",""
0x4934a2d0ac0e7752b37e4fd301c9c4885459bdbc3a3429e5db51f77494c68068,"1559445328","2019-06-02 03:15:28","0x952105a1fb1521bbff42ca7275304418d1bcbd1b","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","21,000,000","0xed6ca9522fda3b9cd93025780a2939bd04a7ecd6","https://www.yidaibi.me/ æœ€ä½³ä¸€é”®å‘å¸è§£å†³æ–¹æ¡ˆ Create tokens easily","www.yidaibi.meä¸€é”®å‘å¸CreateTokens",""
0xb4031a13da4d0dbd3da537cbfb6b4d2bfb39585989dae2f5b0c97543c7abef1d,"1559824674","2019-06-06 12:37:54","0xe47be419e2f604e14fe7eb1cca65caffe772d6f4","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","8","0x12565fd1436926beb0fff522d63be551240a4594","GOLD","GOLD",""
0xcaeb0a660c3049b77a22451d1de93262c2b8fb3be957b31420f4396f07761908,"1560337885","2019-06-12 11:11:25","0xa4eff1f24a45ae0980364557c21f1c448de1aae9","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","1","0x4c1c4957d22d8f373aed54d0853b090666f6f9de","Silverway","SLV",""
0xea75777c906e1d017152bc23b18b570c8648cccbbeda03305aaf826988108345,"1560754567","2019-06-17 06:56:07","0xe47be419e2f604e14fe7eb1cca65caffe772d6f4","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","8","0x12565fd1436926beb0fff522d63be551240a4594","GOLD","GOLD",""
0xc1cddcf0f6555caf3cd3098e32c56867ea1fc5396d9a56bddb297661b7ea2ea1,"1563617618","2019-07-20 10:13:38","0xbcae2a1a60280822ea24bb3085ae5cbe2c67fe86","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","3","0x06e0feb0d74106c7ada8497754074d222ec6bcdf","BitBall","BTB",""
0x422b905497521dffc3d56a9a46053685d76b11d3abc86d860f5acf6f661a5fac,"1563757568","2019-07-22 01:06:08","0xe79b4057b81213200562c2b80134f512b4f72579","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0","0x2932746414a6766a2b4a472cb3a2624f5667fd83","BitBall Treasure","BTRS",""
0x4f19bce76d5ca9b9098a8622772365aefa3a9344ae0a5c21f9cbf39678fa9148,"1564242778","2019-07-27 15:52:58","0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","51","0x9ec251401eafb7e98f37a1d911c0aea02cb63a80","Bitcratic","BCT",""
0xb96939a065d64d54f943100c84a633715e01900480fd18e2c36e477c888aef4d,"1565470289","2019-08-10 20:51:29","0xf905d5519aa1486d80cc152d1f0893c7f62d8b3b","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","556","0x708b63545467a9bcfb67af92299102c650e34a0e","Vital  Ethereum","VETH",""
0xd3cef49f7f76be17c8ca9f253259c542b0a29c354ed6fe98775fa2b0df860858,"1567799988","2019-09-06 19:59:48","0x794ef92842f1b15f848dc30d94c8cd76ad85b526","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","50","0x6b55b7382e5bb943d8ac18eeca49b8c59bc3a0f3","Bitch.fyi","BITCH",""
0x85f209ba734919a8620dbb59fcfc2cf3d5d558a7e89ab28d3a04ec59a89339ba,"1568833010","2019-09-18 18:56:50","0xe5ccfca59acd6a3dea18a97a8d12a1fc5be09b13","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","7,446.1340107789306686","0xbddab785b306bcd9fb056da189615cc8ece1d823","Ebakus","EBK",""
0x5df37130c3e242752de189db72c33169c7fdfaac40c2590fe6495e695172115d,"1570967077","2019-10-13 11:44:37","0xd1917932a7db6af687b523d5db5d7f5c2734763f","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","50","0x322f4f6a48329690957a3bcbd1301516c2b83c1f","MesChain","MES",""
0x182ad490d920b9037270b1b4097b40c18807ec736f1e1c4c36b0b58fdac00c14,"1571731081","2019-10-22 07:58:01","0xd1917932a7db6af687b523d5db5d7f5c2734763f","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","3.43","0x04ad70466a79dd1251f22ad426248088724ff32b","Time-Honored Brand Chain","THBC",""
0x3a092054f7428f825e83c779a584d651ba2e52a6edcefb62c51a1ff2a343bfa6,"1573024829","2019-11-06 07:20:29","0x291b7ea9b59c8e242a89b8f3e4bd5b84afa5b9f3","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","0.5","0xb7fbe91752dd926a5ea103f1b2e8b6fd2cee4d91","Global Environment Fund","GEF",""
0xac5128d507813c86b53a33c687f124d9bffcf8c0a6d8c76119d20fb4a1515481,"1584253273","2020-03-15 06:21:13","0x5bd677119f2ec905ba6f72e01edcc8bc55fd5260","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","8","0x3a4a0d5b8dfacd651ee28ed4ffebf91500345489","BerryXToken","BRX",""
0x1af2296afc1c172fc7731e033487b3b646c5829d452c0f91d9a8499c20d98b9e,"1585669104","2020-03-31 15:38:24","0x0b795e585ec0436e4572cc9b24fc5da1faf9cfc6","0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de","100","0x2b591e99afe9f32eaa6214f7b7629768c40eeb39","HEX","HEX",""
